"search","socialmedia","termsconditions","age","behavior","interest","commercial","awareness","concern","regulation","comfort","F_internetuse","F_termsconditions","F_age","F_behavior","F_interest","F_commercial","F_awareness","F_concern","F_regulation","F_comfort","F_nationality"
1,1,3,39,2,2,2,4,4,1,4,"heavy_user","don't read","25-39","agree","agree","agree","disagree","disagree","agree","uncomfortable","BELGIUM"
1,5,2,65,3,1,4,1,3,3,2.66666666666667,"light_user","read","55+","disagree","agree","disagree","agree","disagree","disagree","comfortable","BELGIUM"
5,3,3,30,3,3,4,4,4,2,3.33333333333333,"light_user","don't read","25-39","disagree","disagree","disagree","disagree","disagree","agree","uncomfortable","POLAND"
2,2,2,16,1,2,2,2,3,2,2.33333333333333,"light_user","read","15-24","agree","agree","agree","agree","disagree","agree","comfortable","BELGIUM"
3,4,3,54,3,2,1,2,3,4,2,"light_user","don't read","40-54","disagree","agree","agree","agree","disagree","disagree","comfortable","BELGIUM"
3,2,2,36,1,2,3,1,3,3,2.33333333333333,"light_user","read","25-39","agree","agree","disagree","agree","disagree","disagree","comfortable","BELGIUM"
2,4,2,50,3,2,2,3,3,1,2.33333333333333,"light_user","read","40-54","disagree","agree","agree","disagree","disagree","agree","comfortable","BELGIUM"
2,3,3,33,1,3,3,2,2,3,3,"light_user","don't read","25-39","agree","disagree","disagree","agree","agree","disagree","uncomfortable","ROMANIA"
1,4,3,34,1,2,4,1,2,1,3.33333333333333,"light_user","don't read","25-39","agree","agree","disagree","agree","agree","agree","uncomfortable","SLOVAKIA"
1,1,1,48,2,1,3,1,1,1,1,"heavy_user","read","40-54","agree","agree","disagree","agree","agree","agree","comfortable","BELGIUM"
2,2,1,68,2,2,2,2,2,1,2,"light_user","read","55+","agree","agree","agree","agree","agree","agree","comfortable","BELGIUM"
1,1,2,39,4,1,4,1,1,2,4,"heavy_user","read","25-39","disagree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,5,3,50,3,2,2,2,1,2,3,"light_user","don't read","40-54","disagree","agree","agree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,3,43,4,4,2,1,1,4,2.33333333333333,"heavy_user","don't read","40-54","disagree","disagree","agree","agree","agree","disagree","comfortable","BELGIUM"
1,1,1,32,4,2,4,1,2,2,3,"heavy_user","read","25-39","disagree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,2,59,4,1,4,1,1,2,3,"heavy_user","read","55+","disagree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
2,1,3,45,4,2,4,1,1,4,4,"light_user","don't read","40-54","disagree","agree","disagree","agree","agree","disagree","uncomfortable","BELGIUM"
3,2,3,39,3,1,4,1,2,1,2,"light_user","don't read","25-39","disagree","agree","disagree","agree","agree","agree","comfortable","BELGIUM"
1,2,1,49,1,3,4,1,1,1,4,"light_user","read","40-54","agree","disagree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,3,30,1,1,4,1,2,1,3,"heavy_user","don't read","25-39","agree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,3,48,3,2,3,2,2,3,3,"heavy_user","don't read","40-54","disagree","agree","disagree","agree","agree","disagree","uncomfortable","BELGIUM"
1,1,3,17,2,2,4,1,2,2,2.33333333333333,"heavy_user","don't read","15-24","agree","agree","disagree","agree","agree","agree","comfortable","BELGIUM"
1,1,2,30,1,1,2,1,1,1,3.66666666666667,"heavy_user","read","25-39","agree","agree","agree","agree","agree","agree","uncomfortable","BELGIUM"
1,3,3,29,2,3,3,2,1,2,3.33333333333333,"light_user","don't read","25-39","agree","disagree","disagree","agree","agree","agree","uncomfortable","FRANCE"
